iso_code,name,sp_2024,old_sp_2050,new_sp_2050,observed_rate,correction_reason
kpk,Kpan,11400,7696,11400,0.0,no observed rate; projected flat
kpt,Karata,5000,2265,5000,0.0,no observed rate; projected flat
kpy,Koryak,3000,1359,3000,0.0,no observed rate; projected flat
kqg,Khe,1300,589,1300,0.0,no observed rate; projected flat
kqi,Koitabu,2700,1223,2700,0.0,no observed rate; projected flat
kql,Miyak,548,248,548,0.0,no observed rate; projected flat
kqm,Khisa,8000,3624,8000,0.0,no observed rate; projected flat
kqw,Kandas,300,136,300,0.0,no observed rate; projected flat
kqx,Mser,500,100,500,0.0,no observed rate; projected flat
kra,Kumhali,12200,5526,12200,0.0,no observed rate; projected flat
krd,Kairui-Midiki,1000,453,1000,0.0,no observed rate; projected flat
kre,Kreen-Akarore,250,113,250,0.0,no observed rate; projected flat
krf,Koro (Vanuatu),250,113,250,0.0,no observed rate; projected flat
krl,Karelian,63000,28537,63000,0.0,no observed rate; projected flat
krp,Korop,17640,11908,17640,0.0,no observed rate; projected flat
krr,Kru'ng 2,18400,12421,18400,0.0,no observed rate; projected flat
krs,Gbaya,55000,37128,55000,0.0,no observed rate; projected flat
krv,Kravet,2380,1078,2380,0.0,no observed rate; projected flat
kry,Kryts,2500,1132,2500,0.0,no observed rate; projected flat
krz,Sota Kanum,100,20,100,0.0,no observed rate; projected flat
ksi,I'saka,347,69,347,0.0,no observed rate; projected flat
ksu,Khamyang,50,10,50,0.0,no observed rate; projected flat
kte,Nubri,2000,906,2000,0.0,no observed rate; projected flat
kth,Karanga,10000,4530,10000,0.0,no observed rate; projected flat
kti,North Muyu,8000,3624,8000,0.0,no observed rate; projected flat
ktj,Plapo Krumen,100,20,100,0.0,no observed rate; projected flat
ktn,Karitiana,320,145,320,0.0,no observed rate; projected flat
kto,Kuot,2400,1087,2400,0.0,no observed rate; projected flat
ktp,Kaduo,200000,135012,200000,0.0,no observed rate; projected flat
kts,South Muyu,4000,1812,4000,0.0,no observed rate; projected flat
ktt,Ketum,900,408,900,0.0,no observed rate; projected flat
ktx,Kaxararí,300,136,300,0.0,no observed rate; projected flat
ktz,Ju|'hoan,11000,7426,11000,0.0,no observed rate; projected flat
kub,Kuteb,100000,67506,100000,0.0,no observed rate; projected flat
kuk,Kepo',6000,2718,6000,0.0,no observed rate; projected flat
kux,Kukatja,1000,675,1000,0.0,no observed rate; projected flat
kuy,Kuuku-Ya'u,50,10,50,0.0,no observed rate; projected flat
kva,Bagvalal,5000,2265,5000,0.0,no observed rate; projected flat
kvc,Kove,4500,2038,4500,0.0,no observed rate; projected flat
kvd,Kui (Indonesia),4240,1921,4240,0.0,no observed rate; projected flat
kvf,Kabalai,8942,6036,8942,0.0,no observed rate; projected flat
kvm,Kendem,1000,453,1000,0.0,no observed rate; projected flat
kvw,Wersing,4000,2700,4000,0.0,no observed rate; projected flat
kwa,Dâw,142,96,209,0.01505,observed rate 18.33%/yr → clamped to 1.50%/yr
kwh,Kowiai,600,272,600,0.0,no observed rate; projected flat
kwi,Awa Pit,8732,5895,8732,0.0,no observed rate; projected flat
kwj,Kwanga,7520,3406,7520,0.0,no observed rate; projected flat
kwk,Kwak̓wala,195,39,195,0.0,no observed rate; projected flat
kwo,Kwomtari,400,181,400,0.0,no observed rate; projected flat
kwr,Kwer,100,20,100,0.0,no observed rate; projected flat
kxa,Kairiru,3507,1589,3507,0.0,no observed rate; projected flat
kxh,Karo (Ethiopia),1000,453,1000,0.0,no observed rate; projected flat
kxi,Keningau Murut,7000,3171,7000,0.0,no observed rate; projected flat
kxj,Kulfa,2200,997,2200,0.0,no observed rate; projected flat
kxl,Nepali Kurux,28615,19317,28615,0.0,no observed rate; projected flat
kxn,Kanowit-Tanjong,50,23,50,0.0,no observed rate; projected flat
kxq,Smärky Kanum,80,16,80,0.0,no observed rate; projected flat
kxs,Kangjia,377,75,377,0.0,no observed rate; projected flat
kxt,Koiwat,450,204,450,0.0,no observed rate; projected flat
kxu,Kui (India),250000,168765,250000,0.0,no observed rate; projected flat
kxv,Kuvi,246513,166411,246513,0.0,no observed rate; projected flat
